2116	2150	1	-40	5	Merchant Martin
2107	2144	1	0	-3	Balmus
2130	2126	1	0	0	Rainy
2134	2126	1	-60	-15	Amazon Feria
2144	2120	1	0	-10	Knight General
2144	2116	1	0	-5	Smith
2074	2120	1	0	-5	Arnod
2074	2124	1	0	-9	Archis
2090	2126	1	-60	5	Rapeln
2094	2126	1	-50	-15	Elder Forema
2104	2116	1	-25	-13	Storage Guard
2076	2100	1	0	-5	Galford
2068	2068	1	0	-5	Golden Dragon
2144	2088	1	0	-10	Aki
2146	2080	1	0	-7	Storage Guard
2152	2068	1	0	-3	Ability Master
2117	2101	3	-30	-13	Teleporter
2141	2069	3	0	-5	Teleporter
2112	2075	2	0	-5	Novice Area
2112	2082	1	0	-10	Trainer Leader
2123	2144	2	-30	-15	PK Area
2104	2148	2	-45	-3	Guild Area
2144	2102	2	0	-5	Entrance
2100	2116	1	0	3	Merchant Nell
2146	2076	1	-65	5	Merchant Nell
2486	2129	4	0	0	Orc Castle South Gate
2518	2105	4	0	0	Orc Castle East Gate
2669	2157	2	0	0	Underground Entrance
2365	2284	2	0	0	Underground Entrance
2445	1721	1	0	-5	Knight Leader
2506	1726	1	0	-5	Shaman Tylona
2516	1726	1	0	-5	Jeffi
2460	1734	1	0	-5	Arnold
2528	1726	1	0	-5	Irene
2528	1734	1	0	-5	Compounder
2536	1734	1	0	-5	Agatha
2486	1702	1	0	-5	Rutee
2474	1688	1	0	-4	Terra
2466	1692	1	0	0	Laffein
2466	1686	1	0	0	Arnold
2500	1690	1	-30	-13	Rainny
2500	1684	1	0	-5	Smith
2490	1688	1	0	-5	Silver Dragon
2538	1714	1	0	-5	Kara
2550	1716	1	0	-5	Lucy
2594	1724	1	0	-5	Hera
2481	1717	3	0	-5	Teleporter
2469	1717	3	0	-5	Teleporter
2453	1717	3	-30	-13	Teleporter
2434	1719	2	0	-5	Entrance
2485	1750	2	0	-5	Entrance
2555	1730	2	0	-5	Colosseum Entrance
2575	1739	2	0	-5	Small Stadium
2575	1716	2	0	-5	Small Stadium
2602	1733	2	0	-5	Big Stadium
2478	1688	1	-40	-13	Merchant Nell
2594	1728	1	0	-10	Merchant Nell
2379	1613	2	0	0	Entrance to Mystic Land
2398	1729	2	0	0	Chaos Cube Entrance
1965	1773	2	0	0	Call of Faerie Entrance
1825	1774	2	0	0	Hellgate Entrance
1800	1726	2	0	0	Neutral Zone
1742	1815	2	0	0	Akeronia Kingdom
1742	1640	2	0	0	Hekalona Kingdom
2240	1273	2	0	0	Twin Castle
2468	1994	1	0	0	_
2468	1998	1	0	-5	_
2468	1996	1	0	-5	_
2468	1992	1	0	0	_
2458	1986	1	-40	10	Emphice
2456	2010	1	-80	-5	Mount Doctor
2468	2006	1	-30	-13	Farche
2468	2002	1	0	-5	Merchant Union
2466	1990	1	-55	-5	Storage Guard
2466	2018	1	-70	-5	Mount Hunter
2457	2017	3	-70	-5	Teleporter
2475	2010	2	-28	-15	Entrance
2466	1988	1	-50	5	Merchant Nell
1056	1738	1	0	-5	Wiland
1064	1738	1	0	-5	Hastia
1048	1744	1	-25	6	Angela
1060	1744	1	-82	-5	Judis
1068	1744	1	-30	-15	Prona
1045	1725	3	0	-5	Teleporter
1045	1717	3	0	-5	Teleporterm
1045	1709	3	0	-5	Teleporter
1046	1690	2	-30	-15	Altar of Thor
1130	1707	2	0	0	Desert Entrance
1314	1900	2	0	0	Khepra Dungeon Entrance
148	3772	2	0	0	Entrance
148	3780	2	0	0	Dungeon level 2 Entrance
747	3816	2	0	0	Dungeon level 2 Entrance
410	4072	2	0	0	Dungeon level 2 Entrance
917	3822	2	0	0	Dungeon level 2 Entrance
1004	4030	2	0	0	Dungeon level 1 Entrance
1005	3993	2	0	0	Dungeon level 1 Entrance
1006	4065	2	0	0	Dungeon level 1 Entrance
682	4077	2	0	0	Dungeon level 3 Entrance
1515	3997	2	0	0	Underworld level 2 entrance
1305	3818	2	0	0	Underworld level 1 entrance
2527	2007	1	0	0	Unicorn
2465	2080	1	0	0	Unicorn
2391	2140	1	0	0	Unicorn
2600	2081	1	0	0	Earth Carbuncle
2368	2104	1	0	0	Fire Carbuncle
2277	2118	1	0	0	Water Carbuncle
2208	2106	1	0	0	Wind Carbuncle
1705	1725	1	0	0	Apprentice Leader
2481	1646	1	0	0	Julie
3649	3134	1	0	0	Julie
2373	2097	1	-30	-15	Grave Keeper (Spirit Guardian)
2223	1714	1	0	0	Gardener (Sacred Garden)
452	3912	1	0	0	Scout(Darkriders Ressurection)
667	3767	1	0	0	Scout(Immortal Medusa)
1300	4036	1	0	0	Guard(An Unfortunate Event)
2627	1985	1	0	0	Prophet (Divine Silverspear)
2663	1971	1	0	0	Prophet(Fragment of Luck)
2244	1595	1	0	0	Squire Guide(Path to Knighthood)
1967	1579	1	0	0	Guard(Balanced Strength)
1973	1579	1	0	0	Prophet (Fragment of Balance)
787	4058	1	0	0	Scout (Gargoyle Tooth)
2234	1567	1	0	0	Squad Leader (¼ûÏ°¶·Åñ)
1744	1890	1	0	0	Guard(Knight of the Kingdom)
1750	1584	1	0	0	Guard(Knight of the Kingdom)
1706	1727	1	0	0	Seer_Lind
3660    3125    1	0 	0       Merchant Nell
3642    3105    1	0	0	Mel
3648    3117    1	0	0	Taidi
3638    3116    1       0	0	Bruce
3659    3134    1       0	0       Storage Guard
3655    3117    1       0	0       Shany
2135	2106	1	0	0	Delegate Kibita
1068	1744	1	0	0	Believer Prona
2113	2079	1	0	0	Griphon Master
