2116	2150	1	-40	5	Martin
2107	2144	1	0	-3	Comb.Balmus
2134	2126	1	-60	-15	ForeLearner
2144	2120	1	0	-10	Cap.Cavaleiros
2144	2116	1	0	-5	Ferreiro
2074	2120	1	0	-5	Arnod
2074	2124	1	0	-9	Mestre_Archi
2094	2126	1	-50	-15	Foema_Anciã
2104	2116	1	-25	-13	Guarda_de_Carga
2076	2100	1	0	-5	Galford
2068	2068	1	0	-5	Dragão_Dourado
2144	2088	1	0	-10	Aki
2146	2080	1	0	-7	Guarda_de_Carga
2152	2068	1	0	-3	Mestre_Haby
2117	2101	3	-12	-15	Zona_de_Teleporte(Noatun)
2141	2069	3	0	-5	Zona_de_Teleporte(Campo_Armia)
2112	2075	2	0	-3	Guarda_Armia
2118	2043	1	0	-10	Chefe_de_Treino
2123	2144	2	-30	-15	Arena_PvP
2104	2148	2	-45	-3	Zona_de_Guilda
2144	2102	2	0	-5	Campo_(Armia)
2486	2129	4	0	0	Castelo_Orc(Portão_Sul)
2518	2105	4	0	0	Castelo_Orc_(Portão_Leste)
2669	2157	2	0	0	Entrada_Dungeon
2365	2284	2	0	0	Entrada_Dungeon
2445	1721	1	0	-5	Cap.Mercenário
2506	1726	1	0	-5	Shamã
2516	1726	1	0	-5	Jephi
2460	1734	1	0	-5	Arnold
2528	1726	1	0	-5	Aylin
2528	1734	1	0	-5	Compositor
2536	1734	1	0	-5	Agatha
2486	1702	1	0	-5	Ruti
2474	1688	1	0	-4	Tera
2466	1692	1	0	0	Rapein
2466	1686	1	0	0	Arnod
2500	1690	1	-30	-13	Lainy
2500	1684	1	0	-5	Ferreiro
2490	1688	1	0	-5	Dragão_Prateado
2538	1714	1	0	-5	Comb.Kara
2550	1716	1	0	-5	Lucy
2594	1724	1	0	-5	Hera
2481	1717	3	0	-5	Teleporte(Noatun)
2469	1717	3	0	-5	Zona_de_Teleporte(Campo_Azran)
2453	1717	3	-30	-13	Zona_de_Teleporte(Campo_Azran)
1067	1709	3	0	-5	Zona_de_Teleporte(Nippleheim)
1057    1724    3       0       -5      Zona_de_Teleporte(RvR)
2434	1719	2	0	-5	Entrada_Campo_Azran
2485	1750	2	0	-5	Entrada_Campo_Azran
2555	1730	2	0	-5	Entrada_Vale_Escondido
2575	1739	2	0	-5	Arena
2575	1716	2	0	-5	Arena
2602	1733	2	0	-5	Coliseu
2379	1613	2	0	0	Terra_Mística
2398	1729	2	0	0	Entrada_Cubo_da_Maldade
1965	1773	2	0	0	Entada_Zona_Elemental_da_Água
1825	1774	2	0	0	Entrada_Submundo
1800	1726	2	0	0	Zona_Neutra
1742	1815	2	0	0	Reino_Akelonia
1742	1640	2	0	0	Reino_Hekalotia
2240	1273	2	0	0	Dois_Castelos
2468	1994	1	0	0	Rophelion
2468	1998	1	0	-5	Neptus
2468	1996	1	0	-5	Reimers
2468	1992	1	0	0	Lubien
2458	1986	1	-40	10	Comb.Empis
2456	2010	1	-80	-5	M_de_Montaria
2468	2006	1	-30	-13 	Parche
2468	2002	1	0	-5	Reiners
2466	1990	1	-55	-5	Guarda_de_Carga
2466	2018	1	-70	-5	C._de_Montaria
2457	2017	3	-70	-5	Zona_de_Teleporte(Noatun)
2475	2010	2	-28	-15	Entrada_Campo_Erion
1056	1738	1	0	-5	Berlund
1064	1738	1	0	-5	Hestia
1048	1744	1	-25	6	Angela
1060	1744	1	-82	-5	Judith
1068	1744	1	-30	-15	Projnnah
1045	1725	3	0	-5	Zona_de_Teleporte(Armia)
1045	1717	3	0	-5	Zona_de_Teleporte(Azran)
1045	1709	3	0	-5	Zona_de_Teleporte(Erion)
1046	1690	2	-30	-15	Altar_de_Thor
1130	1707	2	0	0	Entrada_Deserto_Noatun
1314	1900	2	0	0	Entrada_Dungeon_Kefra
148	3772	2	0	0	Entrada_Campo_Armia
148	3780	2	0	0	Dungeon_Negro(2º_Piso)
747	3816	2	0	0	Dungeon_Negro(2º_Piso)
410	4072	2	0	0	Dungeon_Negro(2º_Piso)
917	3822	2	0	0	Dungeon_Negro(2º_Piso)
1004	4030	2	0	0	Dungeon_Negro(1º_Piso)
1005	3993	2	0	0	Dungeon_Negro(1º_Piso)
1006	4065	2	0	0	Dungeon_Negro(1º_Piso)
682	4077	2	0	0	Dungeon_Negro(3º_Piso)
1515	3997	2	0	0	Submundo(2º_Piso)
1305	3818	2	0	0	Submundo(1º_Piso)
2600	2081	1	0	0	Carbuncle_Wind
2368	2104	1	0	0	Carbuncle_Wind
2277	2118	1	0	0	Carbuncle_Wind
2208	2106	1	0	0	Carbuncle_Wind
1705	1725	1	0	0	Líder_Aprendiz
2481	1646	1	0	0	Juli
3649	3134	1	0	0	Juli
2373	2097	1	-30	-20	Coveiro
2223	1714	1	0	0	Jardineiro
452	3912	1	0	0	Patrulha
667	3767	1	0	0	Patrulha
1300	4036	1	0	0	Guarda
2627	1985	1	0	0	Sacerdote_Jester
2663	1971	1	0	0	Sacerdote_Kruno
2244	1595	1	0	0	Diretor_Treinamento
1973	1579	1	0	0	Guarda
1973	1579	1	0	0	Sacerdotisa_Amelia
787	4058	1	0	0	Patrulha
2234	1567	1	0	0	Chefe_Treinamento
1744	1890	1	0	0	Guarda_Real
1750	1584	1	0	0	Guarda_Real
1706	1727	1	0	-8	Lindy
3643    3108    1       0	0	Martin
3646    3117    1       0	0	Tiny
3638    3116    1       0	0	Bruce
3659    3134    1       0	0       Guarda_de_Carga
3655    3117    1       0	0       Shany
2135	2106	1	0	0	Kibita
2113	2079	1	0	-3	Mestre_Grifo
