64,,,
1,2006.06.10,독일,코스타리카
2,2006.06.10,폴란드,에콰도르
3,2006.06.10,잉글랜드,파라과이
4,2006.06.11,트리니다드토바고,스웨덴
5,2006.06.11,아르헨티나,코트디부아르
6,2006.06.11,세르비아,네덜란드
7,2006.06.12,멕시코,이란
8,2006.06.12,앙골라,포르투갈
9,2006.06.12,호주,일본
10,2006.06.13,미국,체코
11,2006.06.13,이탈리아,가나
12,2006.06.13,대한민국,토고
13,2006.06.14,프랑스,스위스
14,2006.06.14,브라질,크로아티아
15,2006.06.14,스페인,우크라이나
16,2006.06.15,튀니지,사우디
17,2006.06.15,독일,폴란드
18,2006.06.15,에콰도르,코스타리카
19,2006.06.16,잉글랜드,트리니다드토바고
20,2006.06.16,스웨덴,파라과이
21,2006.06.16,아르헨티나,세르비아
22,2006.06.17,네덜란드,코트디부아르
23,2006.06.17,멕시코,앙골라
24,2006.06.17,포르투갈,이란
25,2006.06.18,체코,가나
26,2006.06.18,이탈리아,미국
27,2006.06.18,일본,크로아티아
28,2006.06.19,브라질,호주
29,2006.06.19,프랑스,대한민국
30,2006.06.19,토고,스위스
31,2006.06.20,사우디,우크라이나
32,2006.06.20,스페인,튀니지
33,2006.06.20,에콰도르,독일
34,2006.06.20,코스타리카,폴라드
35,2006.06.21,스웨덴,잉글랜드
36,2006.06.21,파라과이,트리니다드토바고
37,2006.06.21,포르투갈,멕시코
38,2006.06.21,이란,앙골라
39,2006.06.22,네덜란드,아르헨티나
40,2006.06.22,코트디부아르,세르비아
41,2006.06.22,체코,이탈리아
42,2006.06.22,가나,미국
43,2006.06.23,일본,브라질
44,2006.06.23,크로아티아,호주
45,2006.06.23,사우디,스페인
46,2006.06.23,우크라이나,튀니지
47,2006.06.24,토고,프랑스
48,2006.06.24,스위스,대한민국
49,2006.06.25,A조_1위,B조_2위
50,2006.06.25,C조_1위,D조_2위
51,2006.06.26,B조_1위,A조_2위
52,2006.06.26,D조_1위,C조_2위
53,2006.06.27,E조_1위,F조_2위
54,2006.06.27,G조_1위,H조_2위
55,2006.06.28,F조_1위,E조_2위
56,2006.06.28,H조_1위,G조_2위
57,2006.07.01,49_승리팀,50_승리팀
58,2006.07.01,53_승리팀,54_승리팀
59,2006.07.02,51_승리팀,52_승리팀
60,2006.07.02,55_승리팀,56_승리팀
61,2006.07.05,57_승리팀,58_승리팀
62,2006.07.06,59_승리팀,60_승리팀
63,2006.07.09,61_패배팀,62_패배팀
64,2006.07.10,61_승리팀,62_승리팀
